Date,Production_Line,Machine_ID,Product,Target_Production,Actual_Production,Defective_Units,Downtime_Minutes,Operating_Hours
2025-02-24,Line 3,M302,Product B,1187,1233,53,83,6.62
2025-02-24,Line 4,M401,Product A,1193,926,38,146,5.57
2025-02-24,Line 4,M402,Product A,889,778,60,55,7.08
2025-02-25,Line 1,M101,Product A,1003,989,32,84,6.6
2025-02-25,Line 1,M102,Product A,804,674,44,37,7.38
2025-02-25,Line 2,M201,Product C,945,837,49,149,5.52
2025-02-25,Line 2,M202,Product D,868,872,37,79,6.68
2025-02-25,Line 3,M301,Product B,857,727,53,127,5.88
2025-02-25,Line 3,M302,Product C,1167,940,52,85,6.58
2025-02-25,Line 4,M401,Product B,889,829,48,113,6.12
2025-02-25,Line 4,M402,Product D,1063,901,60,34,7.43
2025-02-26,Line 1,M101,Product B,871,778,22,11,7.82
2025-02-26,Line 1,M102,Product C,996,817,56,78,6.7
2025-02-26,Line 2,M201,Product C,954,882,44,12,7.8
2025-02-26,Line 2,M202,Product C,1134,972,39,25,7.58
2025-02-26,Line 3,M301,Product A,1038,874,33,138,5.7
2025-02-26,Line 3,M302,Product C,1153,905,46,104,6.27
2025-02-26,Line 4,M401,Product B,912,945,70,49,7.18
2025-02-26,Line 4,M402,Product D,1182,1237,59,116,6.07
2025-02-27,Line 1,M101,Product D,1187,1081,37,73,6.78
2025-02-27,Line 1,M102,Product A,1069,945,55,29,7.52
2025-02-27,Line 2,M201,Product A,831,829,65,139,5.68
2025-02-27,Line 2,M202,Product B,1093,995,30,93,6.45
2025-02-27,Line 3,M301,Product D,859,819,53,159,5.35
2025-02-27,Line 3,M302,Product D,846,862,36,24,7.6
2025-02-27,Line 4,M401,Product D,867,783,36,154,5.43
2025-02-27,Line 4,M402,Product A,1086,965,48,15,7.75
2025-02-28,Line 1,M101,Product D,930,925,36,158,5.37
2025-02-28,Line 1,M102,Product A,823,721,51,26,7.57
2025-02-28,Line 2,M201,Product A,835,873,38,18,7.7
2025-02-28,Line 2,M202,Product C,1009,811,16,174,5.1
2025-02-28,Line 3,M301,Product D,991,1038,58,124,5.93
2025-02-28,Line 3,M302,Product D,992,767,49,148,5.53
2025-02-28,Line 4,M401,Product B,1134,1143,26,55,7.08
2025-02-28,Line 4,M402,Product D,1070,843,22,10,7.83
2025-03-01,Line 1,M101,Product A,952,846,54,149,5.52
2025-03-01,Line 1,M102,Product D,1072,925,38,73,6.78
2025-03-01,Line 2,M201,Product D,977,778,19,38,7.37
2025-03-01,Line 2,M202,Product A,1138,996,11,71,6.82
2025-03-01,Line 3,M301,Product B,834,650,8,124,5.93
2025-03-01,Line 3,M302,Product A,925,899,59,122,5.97
2025-03-01,Line 4,M401,Product B,1076,877,63,24,7.6
2025-03-01,Line 4,M402,Product B,1057,1107,40,157,5.38
2025-03-02,Line 1,M101,Product C,1095,1017,51,70,6.83
2025-03-02,Line 1,M102,Product C,873,912,37,115,6.08
2025-03-02,Line 2,M201,Product C,940,722,44,54,7.1
2025-03-02,Line 2,M202,Product D,1084,974,53,174,5.1
2025-03-02,Line 3,M301,Product D,1068,903,62,114,6.1
2025-03-02,Line 3,M302,Product B,953,822,56,147,5.55
2025-03-02,Line 4,M401,Product D,923,927,47,46,7.23
2025-03-02,Line 4,M402,Product D,829,761,33,152,5.47
2025-03-03,Line 1,M101,Product B,998,821,21,94,6.43
2025-03-03,Line 1,M102,Product A,1030,1034,21,147,5.55
2025-03-03,Line 2,M201,Product B,826,686,49,164,5.27
2025-03-03,Line 2,M202,Product A,837,674,43,153,5.45
2025-03-03,Line 3,M301,Product B,1045,849,66,95,6.42
2025-03-03,Line 3,M302,Product C,807,656,18,40,7.33
2025-03-03,Line 4,M401,Product D,924,885,53,62,6.97
2025-03-03,Line 4,M402,Product D,922,844,57,82,6.63
2025-03-04,Line 1,M101,Product D,1038,944,54,88,6.53
2025-03-04,Line 1,M102,Product C,984,889,71,129,5.85
2025-03-04,Line 2,M201,Product A,1169,1041,50,62,6.97
2025-03-04,Line 2,M202,Product C,960,839,44,66,6.9
2025-03-04,Line 3,M301,Product B,808,669,43,158,5.37
2025-03-04,Line 3,M302,Product D,951,756,28,68,6.87
2025-03-04,Line 4,M401,Product D,1091,1091,73,150,5.5
2025-03-04,Line 4,M402,Product C,931,911,71,174,5.1
2025-03-05,Line 1,M101,Product D,1035,828,58,100,6.33
2025-03-05,Line 1,M102,Product B,871,841,39,57,7.05
2025-03-05,Line 2,M201,Product A,1068,811,62,29,7.52
2025-03-05,Line 2,M202,Product A,1191,895,25,171,5.15
2025-03-05,Line 3,M301,Product B,834,802,8,65,6.92
2025-03-05,Line 3,M302,Product D,991,761,47,180,5.0
2025-03-05,Line 4,M401,Product D,1137,1019,10,146,5.57
2025-03-05,Line 4,M402,Product D,806,608,23,147,5.55
2025-03-06,Line 1,M101,Product C,808,727,51,120,6.0
2025-03-06,Line 1,M102,Product B,854,875,41,48,7.2
2025-03-06,Line 2,M201,Product B,898,840,24,100,6.33
2025-03-06,Line 2,M202,Product C,1003,776,32,127,5.88
2025-03-06,Line 3,M301,Product B,1156,945,19,177,5.05
2025-03-06,Line 3,M302,Product A,847,738,31,151,5.48
2025-03-06,Line 4,M401,Product D,828,779,51,53,7.12
2025-03-06,Line 4,M402,Product A,1055,1058,52,154,5.43
2025-03-07,Line 1,M101,Product A,1070,1097,39,64,6.93
2025-03-07,Line 1,M102,Product D,938,716,11,81,6.65
2025-03-07,Line 2,M201,Product A,891,916,49,14,7.77
2025-03-07,Line 2,M202,Product B,1100,872,60,111,6.15
2025-03-07,Line 3,M301,Product A,953,761,22,155,5.42
2025-03-07,Line 3,M302,Product D,1146,1167,53,108,6.2
2025-03-07,Line 4,M401,Product B,1152,1114,75,98,6.37
2025-03-07,Line 4,M402,Product A,850,748,11,97,6.38
2025-03-08,Line 1,M101,Product D,1196,1014,44,125,5.92
2025-03-08,Line 1,M102,Product D,916,784,31,120,6.0
2025-03-08,Line 2,M201,Product B,1148,1062,58,31,7.48
2025-03-08,Line 2,M202,Product C,926,892,18,78,6.7
2025-03-08,Line 3,M301,Product B,994,957,28,109,6.18
2025-03-08,Line 3,M302,Product C,984,769,7,88,6.53
2025-03-08,Line 4,M401,Product D,984,962,22,43,7.28
2025-03-08,Line 4,M402,Product A,895,786,42,152,5.47
2025-03-09,Line 1,M101,Product D,852,645,28,151,5.48
2025-03-09,Line 1,M102,Product A,1105,1027,51,108,6.2
2025-03-09,Line 2,M201,Product A,949,829,57,31,7.48
2025-03-09,Line 2,M202,Product B,1092,989,57,53,7.12
2025-03-09,Line 3,M301,Product B,937,787,38,47,7.22
2025-03-09,Line 3,M302,Product A,885,779,33,86,6.57
2025-03-09,Line 4,M401,Product D,1200,927,41,73,6.78
2025-03-09,Line 4,M402,Product D,1104,1032,68,37,7.38
2025-03-10,Line 1,M101,Product B,955,718,32,95,6.42
2025-03-10,Line 1,M102,Product D,968,853,35,176,5.07
2025-03-10,Line 2,M201,Product B,953,806,52,61,6.98
2025-03-10,Line 2,M202,Product D,960,771,32,91,6.48
2025-03-10,Line 3,M301,Product C,1176,1127,73,157,5.38
2025-03-10,Line 3,M302,Product B,966,833,60,110,6.17
2025-03-10,Line 4,M401,Product C,858,883,20,161,5.32
2025-03-10,Line 4,M402,Product B,1149,1126,14,128,5.87
2025-03-11,Line 1,M101,Product B,1024,1013,18,114,6.1
2025-03-11,Line 1,M102,Product D,871,818,23,74,6.77
2025-03-11,Line 2,M201,Product B,1166,1022,58,28,7.53
2025-03-11,Line 2,M202,Product D,1106,988,60,146,5.57
2025-03-11,Line 3,M301,Product D,1078,820,31,147,5.55
2025-03-11,Line 3,M302,Product A,855,838,50,180,5.0
2025-03-11,Line 4,M401,Product C,885,835,10,154,5.43
2025-03-11,Line 4,M402,Product D,1185,1006,65,37,7.38
2025-03-12,Line 1,M101,Product A,850,703,39,142,5.63
2025-03-12,Line 1,M102,Product B,1028,886,37,160,5.33
2025-03-12,Line 2,M201,Product B,976,1024,71,36,7.4
2025-03-12,Line 2,M202,Product C,1012,1038,20,39,7.35
2025-03-12,Line 3,M301,Product B,978,825,37,62,6.97
2025-03-12,Line 3,M302,Product D,978,873,36,125,5.92
2025-03-12,Line 4,M401,Product C,834,700,52,39,7.35
2025-03-12,Line 4,M402,Product A,975,920,30,72,6.8
2025-03-13,Line 1,M101,Product B,1082,863,43,119,6.02
2025-03-13,Line 1,M102,Product D,918,908,32,57,7.05
2025-03-13,Line 2,M201,Product D,1002,760,46,60,7.0
2025-03-13,Line 2,M202,Product D,1103,969,9,64,6.93
2025-03-13,Line 3,M301,Product B,942,919,17,157,5.38
2025-03-13,Line 3,M302,Product A,1074,865,28,60,7.0
2025-03-13,Line 4,M401,Product D,858,711,38,145,5.58
2025-03-13,Line 4,M402,Product C,1105,957,59,160,5.33
2025-03-14,Line 1,M101,Product A,978,836,37,168,5.2
2025-03-14,Line 1,M102,Product B,1144,1100,49,167,5.22
2025-03-14,Line 2,M201,Product A,1144,903,24,71,6.82
2025-03-14,Line 2,M202,Product C,859,691,50,46,7.23
2025-03-14,Line 3,M301,Product D,1014,941,58,118,6.03
2025-03-14,Line 3,M302,Product B,1049,986,31,152,5.47
2025-03-14,Line 4,M401,Product B,1050,878,19,90,6.5
2025-03-14,Line 4,M402,Product D,1117,855,30,12,7.8
2025-03-15,Line 1,M101,Product D,869,702,31,153,5.45
2025-03-15,Line 1,M102,Product D,1009,964,62,123,5.95
2025-03-15,Line 2,M201,Product D,885,685,7,66,6.9
2025-03-15,Line 2,M202,Product C,816,679,40,83,6.62
2025-03-15,Line 3,M301,Product B,1199,1063,73,150,5.5
2025-03-15,Line 3,M302,Product A,1093,857,57,149,5.52
2025-03-15,Line 4,M401,Product C,1077,1073,15,122,5.97
2025-03-15,Line 4,M402,Product B,1017,793,60,177,5.05
2025-03-16,Line 1,M101,Product B,952,963,13,125,5.92
2025-03-16,Line 1,M102,Product C,978,986,20,122,5.97
2025-03-16,Line 2,M201,Product A,1197,1189,37,160,5.33
2025-03-16,Line 2,M202,Product C,1163,1085,64,52,7.13
2025-03-16,Line 3,M301,Product B,905,899,15,155,5.42
2025-03-16,Line 3,M302,Product C,1072,894,29,92,6.47
2025-03-16,Line 4,M401,Product C,948,873,68,141,5.65
2025-03-16,Line 4,M402,Product A,869,902,61,25,7.58
2025-03-17,Line 1,M101,Product C,1135,894,24,73,6.78
2025-03-17,Line 1,M102,Product B,1164,985,40,110,6.17
2025-03-17,Line 2,M201,Product D,872,805,25,170,5.17
2025-03-17,Line 2,M202,Product D,992,878,48,33,7.45
2025-03-17,Line 3,M301,Product D,1063,1036,57,126,5.9
2025-03-17,Line 3,M302,Product D,967,894,19,127,5.88
2025-03-17,Line 4,M401,Product C,832,822,33,65,6.92
2025-03-17,Line 4,M402,Product D,908,815,28,82,6.63
2025-03-18,Line 1,M101,Product C,1080,997,71,97,6.38
2025-03-18,Line 1,M102,Product A,823,641,35,14,7.77
2025-03-18,Line 2,M201,Product A,880,776,7,119,6.02
2025-03-18,Line 2,M202,Product B,1152,1178,94,87,6.55
2025-03-18,Line 3,M301,Product B,940,731,30,74,6.77
2025-03-18,Line 3,M302,Product A,990,939,30,23,7.62
2025-03-18,Line 4,M401,Product D,1120,942,38,119,6.02
2025-03-18,Line 4,M402,Product A,1160,903,36,132,5.8
2025-03-19,Line 1,M101,Product A,867,804,41,123,5.95
2025-03-19,Line 1,M102,Product A,804,770,59,40,7.33
2025-03-19,Line 2,M201,Product D,1155,912,18,68,6.87
2025-03-19,Line 2,M202,Product D,845,818,14,36,7.4
2025-03-19,Line 3,M301,Product C,988,1002,27,107,6.22
2025-03-19,Line 3,M302,Product B,1128,1182,29,27,7.55
2025-03-19,Line 4,M401,Product A,1112,1050,66,99,6.35
2025-03-19,Line 4,M402,Product B,1121,1092,62,167,5.22
2025-03-20,Line 1,M101,Product D,911,706,13,45,7.25
2025-03-20,Line 1,M102,Product A,1101,1066,54,119,6.02
2025-03-20,Line 2,M201,Product C,871,717,48,31,7.48
2025-03-20,Line 2,M202,Product B,1083,1007,46,16,7.73
2025-03-20,Line 3,M301,Product C,905,819,40,58,7.03
2025-03-20,Line 3,M302,Product D,951,897,38,136,5.73
2025-03-20,Line 4,M401,Product D,857,704,47,162,5.3
2025-03-20,Line 4,M402,Product A,1070,1087,11,102,6.3
2025-03-21,Line 1,M101,Product C,867,750,60,155,5.42
2025-03-21,Line 1,M102,Product D,987,902,31,130,5.83
2025-03-21,Line 2,M201,Product A,808,748,7,77,6.72
2025-03-21,Line 2,M202,Product B,820,841,58,111,6.15
2025-03-21,Line 3,M301,Product C,1121,1080,63,118,6.03
2025-03-21,Line 3,M302,Product D,842,793,41,167,5.22
2025-03-21,Line 4,M401,Product B,942,730,12,140,5.67
2025-03-21,Line 4,M402,Product B,879,800,33,160,5.33
2025-03-22,Line 1,M101,Product A,958,919,39,24,7.6
2025-03-22,Line 1,M102,Product B,844,867,15,126,5.9
2025-03-22,Line 2,M201,Product A,958,909,31,40,7.33
2025-03-22,Line 2,M202,Product A,1162,919,10,51,7.15
2025-03-22,Line 3,M301,Product D,977,886,58,76,6.73
2025-03-22,Line 3,M302,Product B,990,780,56,78,6.7
2025-03-22,Line 4,M401,Product A,1194,1217,54,119,6.02
2025-03-22,Line 4,M402,Product C,1068,821,53,157,5.38
2025-03-23,Line 1,M101,Product A,1054,934,55,24,7.6
2025-03-23,Line 1,M102,Product D,1090,872,18,75,6.75
2025-03-23,Line 2,M201,Product A,1093,1040,24,68,6.87
2025-03-23,Line 2,M202,Product A,822,828,8,72,6.8
2025-03-23,Line 3,M301,Product A,1041,894,27,55,7.08
2025-03-23,Line 3,M302,Product A,1083,1073,63,67,6.88
2025-03-23,Line 4,M401,Product C,927,811,54,91,6.48
2025-03-23,Line 4,M402,Product C,839,773,14,138,5.7
2025-03-24,Line 1,M101,Product A,891,727,40,21,7.65
2025-03-24,Line 1,M102,Product D,835,845,63,82,6.63
2025-03-24,Line 2,M201,Product C,967,750,36,12,7.8
2025-03-24,Line 2,M202,Product C,902,755,57,87,6.55
2025-03-24,Line 3,M301,Product B,1037,892,71,60,7.0
2025-03-24,Line 3,M302,Product B,877,659,32,16,7.73
2025-03-24,Line 4,M401,Product B,1077,919,10,95,6.42
2025-03-24,Line 4,M402,Product A,1188,1125,50,36,7.4
2025-03-25,Line 1,M101,Product B,1071,1119,64,135,5.75
2025-03-25,Line 1,M102,Product A,872,840,13,21,7.65
2025-03-25,Line 2,M201,Product B,1066,931,56,127,5.88
2025-03-25,Line 2,M202,Product A,1097,854,16,173,5.12
2025-03-25,Line 3,M301,Product D,838,777,10,121,5.98
2025-03-25,Line 3,M302,Product B,921,771,61,90,6.5
2025-03-25,Line 4,M401,Product D,1158,1157,52,91,6.48
2025-03-25,Line 4,M402,Product D,939,770,19,44,7.27
2025-03-26,Line 1,M101,Product A,879,687,34,129,5.85
2025-03-26,Line 1,M102,Product C,1008,792,29,63,6.95
2025-03-26,Line 2,M201,Product D,957,850,62,40,7.33
2025-03-26,Line 2,M202,Product A,880,873,27,164,5.27
2025-03-26,Line 3,M301,Product A,910,910,50,47,7.22
2025-03-26,Line 3,M302,Product A,1164,959,54,111,6.15
2025-03-26,Line 4,M401,Product A,1146,962,31,17,7.72
2025-03-26,Line 4,M402,Product D,1031,945,40,34,7.43
2025-03-27,Line 1,M101,Product D,852,844,16,41,7.32
2025-03-27,Line 1,M102,Product A,831,830,22,43,7.28
2025-03-27,Line 2,M201,Product B,1005,865,48,175,5.08
2025-03-27,Line 2,M202,Product A,1098,1016,19,15,7.75
2025-03-27,Line 3,M301,Product A,901,919,65,42,7.3
2025-03-27,Line 3,M302,Product A,969,762,36,22,7.63
2025-03-27,Line 4,M401,Product B,1093,961,59,137,5.72
2025-03-27,Line 4,M402,Product A,995,950,31,100,6.33
2025-03-28,Line 1,M101,Product B,895,745,35,48,7.2
2025-03-28,Line 1,M102,Product A,1114,1042,41,175,5.08
2025-03-28,Line 2,M201,Product C,1055,921,70,25,7.58
2025-03-28,Line 2,M202,Product A,943,815,34,61,6.98
2025-03-28,Line 3,M301,Product B,1122,1176,80,14,7.77
2025-03-28,Line 3,M302,Product D,1200,1156,72,149,5.52
2025-03-28,Line 4,M401,Product D,976,999,73,92,6.47
2025-03-28,Line 4,M402,Product D,938,754,27,162,5.3
2025-03-29,Line 1,M101,Product B,815,830,57,81,6.65
2025-03-29,Line 1,M102,Product A,1041,946,38,50,7.17
2025-03-29,Line 2,M201,Product A,926,876,25,146,5.57
2025-03-29,Line 2,M202,Product A,1191,1249,40,157,5.38
2025-03-29,Line 3,M301,Product D,981,1010,32,55,7.08
2025-03-29,Line 3,M302,Product B,1103,932,54,161,5.32
2025-03-29,Line 4,M401,Product A,1160,1113,83,154,5.43
2025-03-29,Line 4,M402,Product B,1088,1125,74,148,5.53
2025-03-30,Line 1,M101,Product C,889,797,12,24,7.6
2025-03-30,Line 1,M102,Product B,1108,903,70,10,7.83
2025-03-30,Line 2,M201,Product C,1114,902,25,97,6.38
2025-03-30,Line 2,M202,Product B,965,740,16,160,5.33
2025-03-30,Line 3,M301,Product B,1196,936,55,28,7.53
2025-03-30,Line 3,M302,Product C,1160,1197,61,160,5.33
2025-03-30,Line 4,M401,Product A,972,816,16,50,7.17
2025-03-30,Line 4,M402,Product D,1127,1170,51,54,7.1
2025-03-31,Line 1,M101,Product C,914,867,60,54,7.1
2025-03-31,Line 1,M102,Product D,957,928,46,42,7.3
2025-03-31,Line 2,M201,Product B,1173,880,52,156,5.4
2025-03-31,Line 2,M202,Product D,1194,1241,16,56,7.07
2025-03-31,Line 3,M301,Product C,1113,908,22,137,5.72
2025-03-31,Line 3,M302,Product B,969,943,39,98,6.37
2025-03-31,Line 4,M401,Product C,885,832,13,173,5.12
2025-03-31,Line 4,M402,Product C,1028,774,20,73,6.78
2025-04-01,Line 1,M101,Product A,979,809,14,10,7.83
2025-04-01,Line 1,M102,Product A,997,878,34,52,7.13
2025-04-01,Line 2,M201,Product D,1052,1067,54,149,5.52
2025-04-01,Line 2,M202,Product D,851,849,58,157,5.38
2025-04-01,Line 3,M301,Product B,883,781,58,18,7.7
2025-04-01,Line 3,M302,Product C,810,684,12,28,7.53
2025-04-01,Line 4,M401,Product C,887,901,29,29,7.52
2025-04-01,Line 4,M402,Product A,973,903,70,17,7.72
2025-04-02,Line 1,M101,Product D,1134,906,64,50,7.17
2025-04-02,Line 1,M102,Product A,851,722,19,114,6.1
2025-04-02,Line 2,M201,Product C,1138,949,39,34,7.43
2025-04-02,Line 2,M202,Product A,1001,922,71,49,7.18
2025-04-02,Line 3,M301,Product A,984,739,12,85,6.58
2025-04-02,Line 3,M302,Product D,902,702,20,53,7.12
2025-04-02,Line 4,M401,Product C,841,750,14,88,6.53
2025-04-02,Line 4,M402,Product D,1041,933,42,33,7.45
2025-04-03,Line 1,M101,Product D,894,770,31,104,6.27
2025-04-03,Line 1,M102,Product B,1028,784,35,129,5.85
2025-04-03,Line 2,M201,Product C,915,916,16,48,7.2
2025-04-03,Line 2,M202,Product A,843,801,59,148,5.53
2025-04-03,Line 3,M301,Product D,1187,1100,81,25,7.58
2025-04-03,Line 3,M302,Product D,1067,934,69,156,5.4
2025-04-03,Line 4,M401,Product B,1043,875,33,18,7.7
2025-04-03,Line 4,M402,Product B,861,890,65,54,7.1
2025-04-04,Line 1,M101,Product B,908,901,25,20,7.67
2025-04-04,Line 1,M102,Product D,840,879,35,61,6.98
2025-04-04,Line 2,M201,Product B,1104,913,17,32,7.47
2025-04-04,Line 2,M202,Product D,1084,942,50,80,6.67
2025-04-04,Line 3,M301,Product D,806,794,46,160,5.33
2025-04-04,Line 3,M302,Product D,857,749,16,155,5.42
2025-04-04,Line 4,M401,Product A,854,784,13,83,6.62
2025-04-04,Line 4,M402,Product C,1010,837,49,134,5.77
2025-04-05,Line 1,M101,Product D,819,656,31,46,7.23
2025-04-05,Line 1,M102,Product D,819,711,28,70,6.83
2025-04-05,Line 2,M201,Product A,1181,1054,44,105,6.25
2025-04-05,Line 2,M202,Product A,972,967,47,89,6.52
2025-04-05,Line 3,M301,Product C,1051,1058,22,68,6.87
2025-04-05,Line 3,M302,Product B,953,993,65,92,6.47
2025-04-05,Line 4,M401,Product C,1173,1026,21,58,7.03
2025-04-05,Line 4,M402,Product D,908,929,61,134,5.77
2025-04-06,Line 1,M101,Product C,828,748,17,26,7.57
2025-04-06,Line 1,M102,Product C,1163,1049,27,144,5.6
2025-04-06,Line 2,M201,Product A,888,717,19,24,7.6
2025-04-06,Line 2,M202,Product B,816,723,30,60,7.0
2025-04-06,Line 3,M301,Product C,988,985,73,111,6.15
2025-04-06,Line 3,M302,Product A,1148,871,31,135,5.75
2025-04-06,Line 4,M401,Product D,890,923,69,160,5.33
2025-04-06,Line 4,M402,Product C,976,779,23,33,7.45
2025-04-07,Line 1,M101,Product C,814,704,17,156,5.4
2025-04-07,Line 1,M102,Product B,913,862,51,62,6.97
2025-04-07,Line 2,M201,Product C,1133,988,11,12,7.8
2025-04-07,Line 2,M202,Product D,867,818,46,12,7.8
2025-04-07,Line 3,M301,Product B,929,866,68,88,6.53
2025-04-07,Line 3,M302,Product C,1016,1034,54,127,5.88
2025-04-07,Line 4,M401,Product C,911,810,51,143,5.62
2025-04-07,Line 4,M402,Product D,1099,857,40,179,5.02
2025-04-08,Line 1,M101,Product C,1087,1026,46,86,6.57
2025-04-08,Line 1,M102,Product A,1046,804,25,173,5.12
2025-04-08,Line 2,M201,Product C,941,779,52,176,5.07
2025-04-08,Line 2,M202,Product C,896,712,55,71,6.82
2025-04-08,Line 3,M301,Product A,1107,964,49,45,7.25
2025-04-08,Line 3,M302,Product A,1135,1020,47,76,6.73
2025-04-08,Line 4,M401,Product D,1007,872,10,159,5.35
2025-04-08,Line 4,M402,Product B,975,943,37,146,5.57
2025-04-09,Line 1,M101,Product D,1143,980,47,53,7.12
2025-04-09,Line 1,M102,Product B,950,740,15,76,6.73
2025-04-09,Line 2,M201,Product B,1148,1170,22,66,6.9
2025-04-09,Line 2,M202,Product C,914,889,47,117,6.05
2025-04-09,Line 3,M301,Product C,990,819,26,128,5.87
2025-04-09,Line 3,M302,Product A,1040,796,47,159,5.35
2025-04-09,Line 4,M401,Product A,1041,1058,74,40,7.33
2025-04-09,Line 4,M402,Product D,1071,899,14,48,7.2
2025-04-10,Line 1,M101,Product B,902,769,43,127,5.88
2025-04-10,Line 1,M102,Product B,961,969,32,30,7.5
2025-04-10,Line 2,M201,Product D,970,911,31,90,6.5
2025-04-10,Line 2,M202,Product A,802,710,20,53,7.12
2025-04-10,Line 3,M301,Product B,1050,1034,21,43,7.28
2025-04-10,Line 3,M302,Product D,1124,987,63,132,5.8
2025-04-10,Line 4,M401,Product D,802,610,18,105,6.25
2025-04-10,Line 4,M402,Product A,964,941,33,14,7.77
2025-04-11,Line 1,M101,Product A,1120,1086,38,98,6.37
2025-04-11,Line 1,M102,Product C,866,676,38,160,5.33
2025-04-11,Line 2,M201,Product C,885,681,8,86,6.57
2025-04-11,Line 2,M202,Product C,1033,1000,77,96,6.4
2025-04-11,Line 3,M301,Product D,1151,1206,55,135,5.75
2025-04-11,Line 3,M302,Product C,1184,954,60,14,7.77
2025-04-11,Line 4,M401,Product B,914,884,16,64,6.93
2025-04-11,Line 4,M402,Product A,1101,992,24,103,6.28
2025-04-12,Line 1,M101,Product A,992,1004,42,146,5.57
2025-04-12,Line 1,M102,Product A,1104,1157,24,177,5.05
2025-04-12,Line 2,M201,Product A,824,788,33,123,5.95
2025-04-12,Line 2,M202,Product D,863,788,37,49,7.18
2025-04-12,Line 3,M301,Product B,1155,1103,12,87,6.55
2025-04-12,Line 3,M302,Product D,1138,887,41,79,6.68
2025-04-12,Line 4,M401,Product B,1014,1013,23,140,5.67
2025-04-12,Line 4,M402,Product A,944,740,13,137,5.72
2025-04-13,Line 1,M101,Product B,1111,899,41,143,5.62
2025-04-13,Line 1,M102,Product B,983,944,46,51,7.15
2025-04-13,Line 2,M201,Product A,1080,970,35,133,5.78
2025-04-13,Line 2,M202,Product C,920,690,48,32,7.47
2025-04-13,Line 3,M301,Product A,1093,1039,29,33,7.45
2025-04-13,Line 3,M302,Product A,1170,1131,43,174,5.1
2025-04-13,Line 4,M401,Product B,1033,1081,47,77,6.72
2025-04-13,Line 4,M402,Product D,825,643,17,20,7.67
2025-04-14,Line 1,M101,Product C,984,974,49,119,6.02
2025-04-14,Line 1,M102,Product A,848,852,64,21,7.65
2025-04-14,Line 2,M201,Product A,870,825,18,94,6.43
2025-04-14,Line 2,M202,Product C,1024,1061,44,33,7.45
2025-04-14,Line 3,M301,Product C,975,784,32,112,6.13
2025-04-14,Line 3,M302,Product D,939,939,70,117,6.05
2025-04-14,Line 4,M401,Product B,857,676,52,25,7.58
2025-04-14,Line 4,M402,Product B,853,746,44,133,5.78
2025-04-15,Line 1,M101,Product D,892,832,57,101,6.32
2025-04-15,Line 1,M102,Product A,1150,1166,27,133,5.78
2025-04-15,Line 2,M201,Product D,857,870,36,21,7.65
2025-04-15,Line 2,M202,Product A,933,883,8,144,5.6
2025-04-15,Line 3,M301,Product B,1142,1155,77,143,5.62
2025-04-15,Line 3,M302,Product A,1021,968,40,133,5.78
2025-04-15,Line 4,M401,Product C,1139,1085,59,48,7.2
2025-04-15,Line 4,M402,Product A,805,759,17,139,5.68
2025-04-16,Line 1,M101,Product D,1053,1064,19,135,5.75
2025-04-16,Line 1,M102,Product C,923,783,24,22,7.63
2025-04-16,Line 2,M201,Product B,1081,1019,61,70,6.83
2025-04-16,Line 2,M202,Product A,1035,914,66,32,7.47
2025-04-16,Line 3,M301,Product D,1028,868,39,177,5.05
2025-04-16,Line 3,M302,Product A,852,742,9,152,5.47
2025-04-16,Line 4,M401,Product A,846,835,47,173,5.12
2025-04-16,Line 4,M402,Product C,1060,973,67,97,6.38
2025-04-17,Line 1,M101,Product C,827,822,62,126,5.9
2025-04-17,Line 1,M102,Product C,1086,1064,70,178,5.03
2025-04-17,Line 2,M201,Product C,1166,1032,22,178,5.03
2025-04-17,Line 2,M202,Product B,801,682,46,84,6.6
2025-04-17,Line 3,M301,Product C,1159,906,30,136,5.73
2025-04-17,Line 3,M302,Product B,1167,1135,63,37,7.38
2025-04-17,Line 4,M401,Product C,1112,899,23,110,6.17
2025-04-17,Line 4,M402,Product B,1034,1031,34,96,6.4
2025-04-18,Line 1,M101,Product A,1187,1037,25,125,5.92
2025-04-18,Line 1,M102,Product D,1137,1053,74,44,7.27
2025-04-18,Line 2,M201,Product D,802,729,10,151,5.48
2025-04-18,Line 2,M202,Product D,1099,983,74,55,7.08
2025-04-18,Line 3,M301,Product B,1174,1167,24,109,6.18
2025-04-18,Line 3,M302,Product C,1058,1073,63,165,5.25
2025-04-18,Line 4,M401,Product B,940,817,29,85,6.58
2025-04-18,Line 4,M402,Product D,868,686,44,141,5.65
2025-04-19,Line 1,M101,Product C,1159,1059,50,151,5.48
2025-04-19,Line 1,M102,Product B,902,733,52,84,6.6
2025-04-19,Line 2,M201,Product C,1144,903,31,138,5.7
2025-04-19,Line 2,M202,Product C,1163,912,54,153,5.45
2025-04-19,Line 3,M301,Product D,1098,1011,63,146,5.57
2025-04-19,Line 3,M302,Product C,1016,1008,76,37,7.38
2025-04-19,Line 4,M401,Product A,995,789,49,24,7.6
2025-04-19,Line 4,M402,Product B,936,912,29,83,6.62
2025-04-20,Line 1,M101,Product C,874,875,52,85,6.58
2025-04-20,Line 1,M102,Product B,1185,1081,55,125,5.92
2025-04-20,Line 2,M201,Product A,1115,1126,82,67,6.88
2025-04-20,Line 2,M202,Product D,921,831,58,83,6.62
2025-04-20,Line 3,M301,Product A,995,861,58,90,6.5
